from,to,weight
seventeen,Hezbollah,1
Amal,Hezbollah,1
Amal,Amal,1
Hezbollah,seventeen,1
Hezbollah,Amal,1
Hezbollah,Jammoul,2
Hezbollah,SBO,2
Hezbollah,SSNP,2
Hezbollah,Hamas,4
Hezbollah,PIJ,4
Hezbollah,al-Qaeda,1
Hezbollah,Ansar_al-Islam,1
Hezbollah,Ansar_al-Sunnah,1
Hezbollah,Hezbollah,1
Hezbollah,al-Nosra,1
Hezbollah,PRC,1
Hezbollah,Fatah,2
Hezbollah,al-Tawhid_wal-Jihad,1
Jammoul,Hezbollah,1
Jammoul,SBO,2
Jammoul,SSNP,3
Jammoul,al-Hezb_ash-Shu'aye_al-Lubnani,1
Jammoul,PFPL,1
Jammoul,al-Mourabitoun,1
SBO,Hezbollah,1
SBO,Jammoul,2
SBO,SSNP,2
SBO,al-Hezb_ash-Shu'aye_al-Lubnani,1
SBO,SBO,1
SSNP,Hezbollah,2
SSNP,Jammoul,3
SSNP,SBO,2
SSNP,al-Hezb_ash-Shu'aye_al-Lubnani,1
SSNP,al-Mourabitoun,1
SSNP,PFPL,1
Unknown_Iran,Unknown_Iran,1
al-Gama'a_al-'Arablyya_Misr,al-Gama'a_al-'Arablyya_Misr,1
al-Hezb_ash-Shu'aye_al-Lubnani,Jammoul,1
al-Hezb_ash-Shu'aye_al-Lubnani,SBO,1
al-Hezb_ash-Shu'aye_al-Lubnani,SSNP,1
al-Hezb_ash-Shu'aye_al-Lubnani,al-Mourabitoun,1
al-Mourabitoun,Jammoul,1
al-Mourabitoun,SSNP,1
al-Mourabitoun,al-Hezb_ash-Shu'aye_al-Lubnani,1
LTTE,LTTE,10
LTTE,PKK,4
PFPL,Jammoul,1
PFPL,SSNP,1
EIJ,EIJ,1
EIJ,al-Gama'a_al-Islamiyya,1
EIJ,Hezbollah_Gulf,1
Hamas,PIJ,13
Hamas,Fatah,7
Hamas,PFLP,4
Hamas,al-Qaeda,1
Hamas,PRC,1
Hamas,Hezbollah,5
PIJ,Hamas,13
PIJ,Hezbollah,5
PIJ,PFLP,4
PIJ,DFLP,1
PIJ,Fatah,7
Babbar_Khaslsa_International,Babbar_Khaslsa_International,1
GIA,GIA,1
Hezbollah_Gulf,EIJ,1
Unknown_in_Morocco,Unknown_in_Morocco,1
al-Gama'a_al-Islamiyya,EIJ,1
Harakat_ul_Ansar,Harakat_ul_Ansar,1
PKK,TIKKO,1
PKK,LTTE,4
GIA,al-Qaeda,1
Unknown_in_China,Unknown_in_China,4
Unknown_in_India,Unknown_in_India,1
Unknown_in_Pakistan,Unknown_in_Pakistan,4
al-Qaeda,Ittihad_al-Mahakin_al-Islamiyya,1
al-Qaeda,GIA,1
al-Qaeda,JeM,6
al-Qaeda,LeT,5
al-Qaeda,LeJ,4
al-Qaeda,IMU,1
al-Qaeda,JI,6
al-Qaeda,Taliban,6
al-Qaeda,RSMB,5
al-Qaeda,Hamas,1
al-Qaeda,al-Asssirat_al-Moustaquim,1
al-Qaeda,al-Tawhid_wal-Jihad,2
al-Qaeda,AQA,2
al-Qaeda,AQI,2
al-Qaeda,IJG,2
al-Qaeda,Harakat_ul_Mujahedin,1
al-Qaeda,Jund_al-Sham,1
al-Qaeda,Jamaat_ul_Murjahedin_Bangladesh,1
al-Qaeda,Islamic_Glory_Brigades_Land_of_the_Nile,1
al-Qaeda,AASB,1
al-Qaeda,Hizb_ul-Mujahedin,1
al-Qaeda,AQI/MSC/ISIraq,1
al-Qaeda,IJY,1
al-Qaeda,Hezbollah,1
LeT,al-Qaeda,4
LeT,Taliban,3
LeT,JeM,4
LeT,Harakat_ul_Mujahedin,1
LeT,LeJ,2
LeT,Hizb_ul-Mujahedin,1
LeT,LeT,1
TIKKO,PKK,1
Unaffiliated_Individual_Finland,Unaffiliated_Individual_Finland,1
Unknown_in_Iraq,Unknown_in_Iraq,5
Fatah,Hamas,7
Fatah,PFLP,4
Fatah,DFLP,2
Fatah,Hezbollah,2
Fatah,PRC,1
Fatah,PIJ,7
JeM,LeT,4
JeM,Taliban,5
JeM,al-Qaeda,6
JeM,al-Medinah_Regiment,1
JeM,Harakat_ul_Mujahedin,1
JeM,Sipah-e_Sahaba,1
JeM,Hizb_ul-Mujahedin,1
JeM,LeJ,4
SPIR,SPIR,2
Unknown_Phillippines,Unknown_Phillippines,1
DHKP-C,DHKP-C,3
IMU,al-Qaeda,1
Islami_Chhatra_Shibir,Islami_Chhatra_Shibir,1
JI,al-Qaeda,6
PFLP,Fatah,4
PFLP,Hamas,4
PFLP,DFLP,1
PFLP,PIJ,4
Taliban,JeM,5
Taliban,LeT,3
Taliban,LeJ,4
Taliban,Harakat_ul_Mujahedin,1
Taliban,Hizb_ul-Mujahedin,1
Taliban,IJG,1
Taliban,Tehrik-e_Taliban,1
Taliban,al-Qaeda,6
DFLP,PIJ,1
DFLP,Fatah,2
DFLP,PFLP,1
RSMB,al-Qaeda,3
Ansar_al-Islam,Hezbollah,1
Ansar_al-Islam,AQI/MSC/ISIraq,1
Ansar_al-Islam,al-Tawhid_wal-Jihad,1
Ansar_al-Sunnah,AQI,2
Ansar_al-Sunnah,Ansar_al-Islam,1
Ansar_al-Sunnah,al-Tawhid_wal-Jihad,2
Ansar_al-Sunnah,IAI,1
Ansar_al-Sunnah,Jaish_al_Mujahedin,1
Ansar_al-Sunnah,Hezbollah,1
Former-Iraqi_Ba'athists,Former-Iraqi_Ba'athists,1
LeJ,JeM,4
LeJ,Taliban,4
LeJ,al-Medinah_Regiment,1
LeJ,Harakat_ul_Mujahedin,1
LeJ,LeT,2
LeJ,Sipah-e_Sahaba,1
LeJ,Hizb_ul-Mujahedin,1
LeJ,al-Qaeda,4
al-Asssirat_al-Moustaquim,al-Qaeda,1
al-Medinah_Regiment,JeM,1
al-Medinah_Regiment,LeJ,1
al-Tawhid_wal-Jihad,Ansar_al-Islam,1
al-Tawhid_wal-Jihad,Ansar_al-Sunnah,2
al-Tawhid_wal-Jihad,AQI,1
al-Tawhid_wal-Jihad,IAI,1
al-Tawhid_wal-Jihad,al-Qaeda,1
al-Tawhid_wal-Jihad,Hezbollah,1
AQA,IJY,1
AQA,al-Qaeda,2
AQI,Ansar_al-Sunnah,2
AQI,IAI,2
AQI,Kitaeb_Thourat_al-'Ashrin,1
AQI,AASB,1
AQI,al-Qaeda,2
AQI,Jaish_al_Mujahedin,1
AQI,Islamic_Glory_Brigades_Land_of_the_Nile,1
AQI,Jund_al-Sahaba,1
AQI,Jund_al-Sham,1
AQI,al-Tawhid_wal-Jihad,1
Harakat_ul_Mujahedin,JeM,1
Harakat_ul_Mujahedin,LeJ,1
Harakat_ul_Mujahedin,LeT,1
Harakat_ul_Mujahedin,Taliban,1
Harakat_ul_Mujahedin,al-Qaeda,1
IAI,AQI,2
IAI,Kitaeb_Thourat_al-'Ashrin,1
IAI,Jaish_al_Mujahedin,1
IAI,Ansar_al-Sunnah,1
IAI,AQI/MSC/ISIraq,1
IAI,al-Tawhid_wal-Jihad,1
IJG,Taliban,1
IJG,al-Qaeda,2
Kitaeb_Thourat_al-'Ashrin,AQI,1
Kitaeb_Thourat_al-'Ashrin,IAI,1
Kitaeb_Thourat_al-'Ashrin,al-Tawhid_wal-Jihad,1
Unknown_in_Bolivia,Unknown_in_Bolivia,1
Unknown_in_Estonia,Unknown_in_Estonia,1
Unknown_in_Italy,Unknown_in_Italy,1
AASB,AQI,1
AASB,Islamic_Glory_Brigades_Land_of_the_Nile,1
AASB,Jund_al-Sham,1
AASB,al-Qaeda,1
Islamic_Glory_Brigades_Land_of_the_Nile,AASB,1
Islamic_Glory_Brigades_Land_of_the_Nile,AQI,1
Islamic_Glory_Brigades_Land_of_the_Nile,al-Qaeda,1
Jaish_al_Mujahedin,AQI,1
Jaish_al_Mujahedin,Ansar_al-Sunnah,1
Jaish_al_Mujahedin,IAI,1
Jaish_al_Mujahedin,SPIR,1
Jamaat_ul_Murjahedin_Bangladesh,al-Qaeda,1
Jund_al-Sahaba,AQI/MSC/ISIraq,1
Jund_al-Sahaba,AQI,1
Jund_al-Sham,AASB,1
Jund_al-Sham,AQI,1
Jund_al-Sham,al-Qaeda,1
PRC,Fatah,1
PRC,Hamas,1
PRC,Hezbollah,1
Sipah-e_Sahaba,JeM,1
Sipah-e_Sahaba,LeJ,1
Unaffiliated_Individual_China,Unaffiliated_Individual_China,1
al-Nosra,Hezbollah,1
al-Qaeda_inspired_Individual,al-Qaeda_inspired_Individual,1
AQI/MSC/ISIraq,Ansar_al-Islam,1
AQI/MSC/ISIraq,IAI,1
AQI/MSC/ISIraq,Jund_al-Sahaba,1
AQI/MSC/ISIraq,al-Qaeda,1
Hizb_ul-Mujahedin,JeM,1
Hizb_ul-Mujahedin,LeJ,1
Hizb_ul-Mujahedin,LeT,1
Hizb_ul-Mujahedin,Taliban,1
Hizb_ul-Mujahedin,al-Qaeda,1
IJY,AQA,1
IJY,al-Qaeda,1
Ittihad_al-Mahakin_al-Islamiyya,al-Qaeda,1
Supporters_of_the_Sunni_Community,Supporters_of_the_Sunni_Community,1
Tehrik-e_Taliban,Taliban,1
Unaffiliated_Individual_China_A,Unaffiliated_Individual_China_A,1
Unaffiliated_Individual_China_B,Unaffiliated_Individual_China_B,1
Unknown_Turkey,Unknown_Turkey,1
Unknown_in_Afghanistan,Unknown_in_Afghanistan,1
Unknown_in_Finland,Unknown_in_Finland,1
